# Version: 1.11,,,,,,,,,,
TourType,GalleryID,CardID,LegacyStopKey,CardTitle,Section1Title,Section1Bullets,Section2Title,Section2Bullets,Section3Title,Section3Bullets
Celebrating Community Tour,US_CAN,COMM_WOODSTOCK,woodstock,Woodstock,Concept,Music can build community not just among performers but among audiences;Large festivals can reflect major cultural moments,Key talking points,Woodstock became a symbol of peace youth culture and counterculture;Rock music brought together huge audiences in a shared experience;The event changed how people thought about music festivals,Questions / engagement,What big changes in society have happened through music;Have you ever been to a music festival or live concert;What songs represent you and your peers
Celebrating Community Tour,US_CAN,COMM_SOUSA,all_american_bands,All-American Bands Sousa's Band,Concept,Community bands brought music to public life in towns and cities;Band music helped create shared musical experiences,Key talking points,Concert bands grew from military bands into civilian ensembles;John Philip Sousa became famous for marches and national touring;The sousaphone was designed to project sound in bands and parades,Questions / engagement,Can you name a great American band leader;Can you think of a famous march;Which instrument is named after Sousa
Celebrating Community Tour,US_CAN,COMM_JAZZ,jazz,Jazz,Concept,Jazz shows how communities create new music through collaboration improvisation and innovation;The style grew from African American musical traditions,Key talking points,Jazz values improvisation and personal expression;Small groups big bands and later electric styles all shaped the music;Important artists helped jazz evolve into many different forms,Questions / engagement,What do you think of when you hear the word jazz;What differences do you hear between jazz examples;Which instruments do you think were played by great jazz artists
Celebrating Community Tour,EUROPE,COMM_IRELAND,ireland,Ireland,Concept,Traditional music can be central to national identity and community life;People gather to play music socially as well as formally,Key talking points,The harp became a national symbol of Ireland;Irish traditional sessions bring musicians together in pubs and community spaces;Common instruments include uilleann pipes fiddles flutes accordions and more,Questions / engagement,What instruments or sounds come to mind when you think of Irish music;How are the uilleann pipes different from other bagpipes;Where do you think musicians play together in a community
Celebrating Community Tour,EUROPE,COMM_3D_ORCH,3d_orchestra,3D Orchestra Model,Concept,An orchestra is a community of many different instruments working together;Different instrument families contribute different sounds and roles,Key talking points,Instrument families include strings woodwinds brass and percussion;Players must coordinate and watch a conductor or each other;Orchestras changed over time as instruments and ensembles evolved,Questions / engagement,How would you group the instrument families;How do orchestras evolve or change;How do you think this model was created
Celebrating Community Tour,EUROPE,COMM_GERMANY,germany,Germany,Concept,Communities shape music by sharing traditions building instruments and supporting performance;Music history connects older and newer instruments,Key talking points,Renaissance and Baroque Germany supported instrument making and musical life;Older instruments such as viols and recorders connect to later ones;Military civic and court traditions all shaped how instruments were used,Questions / engagement,What comes to mind when you think of old instruments;What are some different names for musical ensembles;What kinds of music make you feel included or part of a community
Celebrating Community Tour,EUROPE,COMM_BULGARIA,bulgaria_community,Bulgaria,Concept,Music and dance can help create national and community identity;Traditions can be passed from one generation to the next through performance,Key talking points,Bulgarian music often uses complex uneven rhythms;Polyphonic singing is an important tradition;Kukeri costumes and loud bells are used in seasonal community rituals,Questions / engagement,How would you describe Bulgarian music;Can you think of other traditions that connect music to national or community identity;What parts of a performance help bring people together
Fiestas! Latin America Tour 3rd-12th,LA_BLUE,Fiestas3-12_Haiti,Haiti,Haiti,Concept,"Haiti’s festive music grows from Vodou traditions, community ritual, and parade culture.",Key talking points,"Vodou is a religious and cultural tradition with African roots;Rad Vodou drums and songs help connect people to ancestral homelands and community memory;Rara bands use bamboo trumpets, percussion, and dancing during street processions",Questions / engagement,"What kinds of music or dance do you connect with parades and processions?;How do families or communities remember grandparents or ancestors through celebrations?;Fun fact: Decorations on instruments are often rich with meaning, and dancers in rara costumes may symbolically refer to Vodou magic"
Fiestas! Latin America Tour 3rd-12th,LA_BLUE,Fiestas3-12_SteelPan,SteelPan,Steel Pan,Concept,Steel pan shows how people can make music from everyday objects through creativity and need.,Key talking points,Afro-Trinidadian musicians developed steel pan after colonial rules banned animal-skin drums;Early players tuned hammered oil drums to create different notes;Steel bands now perform complex music and are a major part of carnival tradition,Questions / engagement,What are some things around your house that could become instruments?;How can one steel pan make more than one pitch?;Fun fact: Trinidad’s steel pan is the only major acoustic instrument invented in the 20th century
Fiestas! Latin America Tour 3rd-12th,LA_BLUE,Fiestas3-12_Jamaica,Jamaica,Jamaica (Alternate),Concept,"Jamaican music connects spirituality, identity, and resistance through drumming and reggae.",Key talking points,"Rastafarian beliefs shaped Nyabinghi drumming and later influenced reggae;The red, gold, and green colors connect Jamaica to Ethiopia and African heritage;Drums used in Nyabinghi ritual include the bass, funde, and repeater drums",Questions / engagement,What colors or symbols make you think of a place or culture?;How can music help people fight for rights or express identity?;Fun fact: Bob Marley fused Rastafarian spirituality with popular music and helped reggae reach audiences around the world
Fiestas! Latin America Tour 3rd-12th,LA_BLUE,Fiestas3-12_Guatemala,Guatemala,Guatemala (Alternate),Concept,"Guatemala’s music reflects Indigenous and Ladino traditions, with marimba at the center of public celebration.",Key talking points,"The marimba became a national symbol shared by both Ladino and Maya communities;The Maya marimba’s gourds and wooden bars show how local materials shape instrument design;Guatemalan festivals and processions often combine drums, whistles, and marimba with dance",Questions / engagement,"What do you notice about instruments made from gourds, wood, or seeds?;How do processions use music differently from concerts?;Fun fact: Guatemala’s marimba tradition is recognized by UNESCO as Intangible Cultural Heritage"
Fiestas! Latin America Tour 3rd-12th,LA_YELLOW,Fiestas3-12_Garifuna,Garifuna,Garífuna – Honduras,Concept,"Garífuna and Honduran traditions show how music preserves migration stories, dance, and community identity.",Key talking points,"Garífuna people trace ancestry to West Africans and Caribbean island communities later relocated to Central America;Punta music uses drums, song, and dance, with shells and rattles adding sound and movement;Honduran marimba traditions often feature several musicians playing one instrument at once",Questions / engagement,"How would you play a conch shell or shell rattle?;Why might some festivals use white masks and rattles?;Fun fact: In the packet’s Honduras photo, one marimba is shown being played by multiple musicians at the same time"
Fiestas! Latin America Tour 3rd-12th,LA_YELLOW,Fiestas3-12_Colombia,Colombia,Colombia (Alternate),Concept,"Colombian music blends Indigenous, African, and Spanish influences into lively dance traditions.",Key talking points,"Cumbia began as a dance that reflects Colombia’s mixed heritage;Gaita flutes are a key traditional instrument, made with cactus and wax parts;Accordions, bass, and percussion show how newer influences joined older local traditions",Questions / engagement,What natural materials do you see in these instruments?;How might geography and cultural contact shape a country’s music?;Fun fact: The packet notes that famous Colombian musicians like Shakira and Juanes are part of this wider musical story
Fiestas! Latin America Tour 3rd-12th,LA_YELLOW,Fiestas3-12_Ecuador,Ecuador,Ecuador,Concept,"Ecuador’s Andean music connects seasonal festivals, Indigenous heritage, and local instruments.",Key talking points,Inti Raymi celebrates the June solstice and the sun’s renewal;The rondador panpipe is a national instrument with staggered tube lengths;Flutes and cane instruments have been found in the Andes for thousands of years,Questions / engagement,"What does a solstice have to do with festivals and music?;If you could pick a national instrument for Arizona, what would it be?;Fun fact: The packet highlights a bone flute from Ecuador as one of the oldest known instruments there"
Fiestas! Latin America Tour 3rd-12th,LA_YELLOW,Fiestas3-12_PeruBolivia,PeruBolivia,Peru & Bolivia,Concept,"Peru and Bolivia share Andean traditions in which music is tied to seasons, dance, and daily life.",Key talking points,"Andean music uses instruments such as pinkillu flutes, panpipes, and charangos;The charango combines Indigenous design ideas with strings introduced from Europe;Scissors dance features performers moving with blades that create rhythm and visual drama",Questions / engagement,"Why might specific songs be linked to certain seasons or ceremonies?;How can instruments be made from both local materials and imported ideas?;Fun fact: The charango was once often made from an armadillo shell, but modern examples may use wood instead"
Fiestas! Latin America Tour 3rd-12th,LA_RED,Fiestas3-12_Brazil,Brazil,Brazil,Concept,"Brazilian celebrations bring together music, dance, religion, and carnival spectacle.",Key talking points,Rio samba schools can include thousands of participants and many percussionists;Capoeira joins movement and music and uses the berimbau to shape rhythm;Candomblé religion includes drumming used to summon deities called Orixás,Questions / engagement,"What instruments would you bring to a parade?;How are dance, martial arts, and music similar in capoeira?;Fun fact: A coin held against the berimbau string helps create its characteristic buzzing twang"
Fiestas! Latin America Tour 3rd-12th,LA_RED,Fiestas3-12_Mexico,Mexico,Mexico,Concept,"Mariachi and banda are powerful symbols of Mexican celebration, community, and national identity.",Key talking points,"Mariachi grew from rural traditions and became a cherished symbol of Mexico;Oaxaca’s sopranino flute and other regional instruments show local diversity within Mexican music;Mariachi ensembles often include violins, trumpets, guitar-family instruments, and sometimes harps or accordions",Questions / engagement,"What kinds of instruments would you wear on your body or carry in a parade?;Why do you think mariachi clothing is so distinctive?;Fun fact: Mariachi is played at weddings, birthdays, funerals, and major festivals across Mexico and beyond"
Fiestas! Latin America Tour 3rd-12th,LA_RED,Fiestas3-12_Cuba,Cuba,Cuba (Alternate),Concept,"Cuban music joins neighborhood celebration, dance bands, and theatrical carnival display.",Key talking points,"Afro-Cuban rumba and conga processions animate public street life;Cuban music blends African, European, and local instruments such as bongos, claves, guitar, and trumpet;The modern timbal evolved from timpani and is central in many Cuban styles",Questions / engagement,"Where do you enjoy listening to music in your own community?;Which instruments seem to show African, European, or Indigenous influence?;Fun fact: The packet notes that the maraca may be the only instrument widely used in Cuba that Indigenous peoples also employed there"
Fiestas! Latin America Tour 3rd-12th,LA_RED,Fiestas3-12_PuertoRico,PuertoRico,Puerto Rico,Concept,"Puerto Rican music celebrates local identity by bringing people together through rhythm, dance, and festival traditions.",Key talking points,"Vejigantes parade masks are a powerful symbol of Puerto Rican festival culture;Bomba uses the barril drum, cuá sticks, and maraca to build layered rhythm;Puerto Rican and New York Latin musicians helped salsa become a major transnational style",Questions / engagement,"What festival tradition has been passed down in your family or community?;How do masks, costumes, or dance change the feeling of a celebration?;Fun fact: The packet explains that the maraca keeps steady rhythm while the lead drum communicates with the dancers and singers"
Fiestas! Latin America Tour 3rd-12th,US_CAN,Fiestas3-12_Waila,Waila,Waila,Concept,Waila is social dance music that blends Tohono O’odham traditions with sounds from the Southwest borderlands.,Key talking points,"The name waila comes from the Spanish word for dance;Modern waila bands often use saxophone, drums, guitar, accordion, and bass;Although the style shows Ango-American and Mexican influence, it has deep roots in O’odham community life",Questions / engagement,What kinds of music feel especially suited for dancing?;How do you think borderlands history shapes local music?;Fun fact: The packet notes that waila is sometimes called chicken scratch
Fiestas! Latin America Tour 3rd-12th,US_CAN,Fiestas3-12_Norteno,Norteno,Norteño / Conjunto,Concept,Norteño and conjunto are borderlands styles that fuse Mexican and European traditions into story-filled dance music.,Key talking points,"Accordion and bajo sexto are signature instruments of the style;Corridos are ballad-like songs that tell stories from everyday life or history;The music reflects a long process of migration, exchange, and local adaptation along the US–Mexico border",Questions / engagement,What stories or events would make a good corrido song?;Why do you think some instruments travel so easily from one culture to another?;Fun fact: The packet points out that the button accordion became popular after it was introduced from Europe and adapted in northern Mexico and Texas
Fiestas! Latin America Tour 3rd-12th,US_CAN,Fiestas3-12_LatinJazz,LatinJazz,Latin Jazz,Concept,Latin jazz blends Afro-Caribbean rhythm with jazz improvisation and the urban Latin American experience.,Key talking points,"Conga drums have roots in Cuban Santería religious practice but are also heard in secular dance music;Bongó players often switch to the larger bell-played bongo bell/cowbell pattern in some styles;Boogaloo mixed Latin rhythm with soul, R&B, and funk in New York",Questions / engagement,"How can different food ingredients become one dish, the way different styles become one music genre?;What does improvisation mean beyond just making something up?;Fun fact: The packet notes that Paquito D’Rivera’s Cuban and American musical journey mirrors the cross-cultural spirit of Latin jazz"
Fiestas! Latin America Tour 3rd-12th,US_CAN,Fiestas3-12_GilbertVelez,GilbertVelez,Gilbert Velez (Alternate),Concept,Gilbert Velez shows how one musician can shape mariachi education and community music in Arizona.,Key talking points,Velez was one of the original members of Los Changuitos Feos of Tucson;He helped bring mariachi into school programs and later to Disney’s EPCOT Center;His story highlights Arizona’s importance in the history of mariachi education,Questions / engagement,"Why might a school or youth mariachi program matter to a community?;If you wanted to learn mariachi, what kinds of practice would it take?;Fun fact: The first youth mariachi group in the United States began in Arizona, according to the packet"
Fiestas! Latin America Tour 3rd-12th,ARTIST,Fiestas3-12_PuenteCruz,PuenteCruz,Tito Puente & Celia Cruz,Concept,Tito Puente and Celia Cruz became global icons who brought Caribbean music and culture to huge audiences.,Key talking points,"Puente was a New York bandleader and master timbales player;Celia Cruz was celebrated for powerful voice, stage presence, and long career;Their recordings helped popularize salsa and Latin dance music internationally",Questions / engagement,"What makes an artist become a cultural icon?;How can clothing, movement, and instruments shape stage presence?;Fun fact: Celia Cruz’s famous cry ¡Azúcar! became one of the most recognizable calls in salsa music"
Fiestas! Latin America Tour 3rd-12th,ARTIST,Fiestas3-12_MercedesSosa,MercedesSosa,Mercedes Sosa,Concept,"Mercedes Sosa used song to express Latin American identity, memory, and social justice.",Key talking points,"She emerged from the Nueva Canción movement in Argentina;Her repertoire connected folk traditions with themes of protest, dignity, and resistance;The bombo drum and traditional ponchos helped root her performances in Indigenous and rural aesthetics",Questions / engagement,What does it mean for music to be traditional and modern at the same time?;How can a singer’s voice become part of a movement larger than one person?;Fun fact: Fans called Mercedes Sosa the voice of Latin America
Fiestas! Latin America Tour 3rd-12th,ARTIST,Fiestas3-12_PabloCasals,PabloCasals,Pablo Casals,Concept,Pablo Casals linked Latin American musical life to the global classical tradition through cello performance and teaching.,Key talking points,"Although born in Spain, Casals made a major musical home in Puerto Rico;He helped establish the first cello to develop international classic music performance there;Casals also became known for teaching and for his stance on peace and human rights",Questions / engagement,What makes a good teacher in music or any other field?;How can musicians help change the world beyond performance alone?;Fun fact: The packet notes that Casals’s cello on display may be notable French luthier Jean-Baptiste Vuillaume’s work
Fiestas! Latin America Tour 3rd-12th,ARTIST,Fiestas3-12_RafaelMendez,RafaelMendez,Rafael Méndez (Alternate),Concept,"Rafael Méndez represents extraordinary trumpet skill, discipline, and generosity as a teacher.",Key talking points,"He learned to play trumpet as a child and later became one of the great virtuosos of the instrument;Different mutes change trumpet sound by altering how vibrations leave the bell;Rapid breathing control and embouchure help players produce smooth, continuous musical lines",Questions / engagement,What skills do you think it takes to become a trumpet virtuoso?;Why might players use different mouthpieces or mutes?;Fun fact: The packet says Méndez would sometimes turn down performances so he could keep teaching his students
Fiestas! Latin America Tour K-2,LA_BLUE,Fiestas3-12_RafaelMendez,Haiti – Vodou & Carnival,Haiti,Concept,"Festivals in Haiti use music, drumming, and dancing to bring communities together.",Key talking points,Vodou ceremonies include drumming and singing;Rara bands parade through towns with bamboo trumpets and percussion;Music connects people with ancestors and traditions,Questions / engagement,What instruments do you see people playing in this celebration?;Why might music be important in parades or festivals?;Fun fact: Rara bands often travel through towns during spring celebrations
Fiestas! Latin America Tour K-2,LA_BLUE,Fiestas3-12_RafaelMendez,Trinidad & Tobago – Steel Pan,Trinidad & Tobago,Concept,Steel pan music shows how creativity can turn everyday objects into instruments.,Key talking points,Steel pans were created from oil drums;Musicians hammer the metal to tune different notes;Steel bands perform during Carnival celebrations,Questions / engagement,What everyday object could you turn into an instrument?;How can one pan play many notes?;Fun fact: Steel pan is the only major acoustic instrument invented in the 20th century
Fiestas! Latin America Tour K-2,LA_BLUE,Fiestas3-12_RafaelMendez,Jamaica – Reggae,Jamaica (Alternate),Concept,Reggae music reflects Jamaican culture and strong rhythms.,Key talking points,Reggae grew from earlier Jamaican music styles;Strong bass rhythms help people dance;Artists like Bob Marley helped spread reggae worldwide,Questions / engagement,What rhythm makes you want to dance?;Why might music travel from one country to another?;Fun fact: Reggae helped share Jamaican culture around the world
Fiestas! Latin America Tour K-2,LA_YELLOW,Fiestas3-12_RafaelMendez,Guatemala – Marimba,Guatemala (Alternate),Concept,The marimba is a wooden instrument important in Guatemalan celebrations.,Key talking points,Wooden bars are struck with mallets;Resonators amplify the sound;Marimba music is played at festivals,Questions / engagement,What instruments here are made of wood?;Why might music be part of celebrations?;Fun fact: Guatemala considers the marimba a national instrument
Fiestas! Latin America Tour K-2,LA_YELLOW,Fiestas3-12_RafaelMendez,Garífuna – Honduras,Garífuna and Honduras,Concept,Garífuna traditions keep culture alive through music and dance.,Key talking points,Drums and singing are central to Garífuna music;Dance movements help tell cultural stories;Festivals celebrate identity and history,Questions / engagement,How can dance tell a story?;What kinds of music are played at celebrations where you live?;Fun fact: Garífuna music is recognized by UNESCO as cultural heritage
Fiestas! Latin America Tour K-2,LA_YELLOW,Fiestas3-12_RafaelMendez,Colombia – Cumbia,Colombia (Alternate),Concept,"Cumbia blends Indigenous, African, and Spanish musical traditions.",Key talking points,Drums provide the main rhythm;Flutes add melody;Cumbia music is closely connected with dance,Questions / engagement,What instruments do you notice in this music?;Why do people like dancing to music?;Fun fact: Cumbia is one of Colombia’s most famous musical styles
Fiestas! Latin America Tour K-2,LA_YELLOW,Fiestas3-12_RafaelMendez,Ecuador – Andean Music,Ecuador,Concept,Andean music celebrates nature and seasonal festivals.,Key talking points,Panpipes and flutes are common instruments;Festivals celebrate harvests and the sun;Music connects people to mountain traditions,Questions / engagement,What sounds remind you of nature?;Why might music be part of seasonal festivals?;Fun fact: Some Andean flutes are thousands of years old
Fiestas! Latin America Tour K-2,LA_RED,Fiestas3-12_RafaelMendez,Peru & Bolivia – Andean Traditions,Peru & Bolivia,Concept,Andean communities share musical traditions across countries.,Key talking points,Panpipes and charangos are common instruments;Music accompanies dances and festivals;Traditions pass through generations,Questions / engagement,Why do music traditions last a long time?;What instruments would you choose for a celebration?;Fun fact: Some charangos were once made from armadillo shells
Fiestas! Latin America Tour K-2,LA_RED,Fiestas3-12_RafaelMendez,Brazil – Samba,Brazil,Concept,Samba music brings people together for energetic celebrations.,Key talking points,Samba bands include many percussion instruments;Carnival parades feature music and dancing;Samba rhythms are lively and fast,Questions / engagement,What instruments would you bring to a parade?;Why do people enjoy big musical celebrations?;Fun fact: Some samba groups include hundreds of drummers
Fiestas! Latin America Tour K-2,LA_RED,Fiestas3-12_RafaelMendez,Mexico – Mariachi,Mexico,Concept,Mariachi music is a strong symbol of Mexican culture.,Key talking points,Mariachi bands include violins trumpets and guitars;Musicians often wear traditional clothing;Mariachi is played at weddings and festivals,Questions / engagement,What instruments do you recognize in mariachi?;Why is music played at special events?;Fun fact: Mariachi music is recognized by UNESCO as cultural heritage
Fiestas! Latin America Tour K-2,LA_RED,Fiestas3-12_RafaelMendez,Cuba – Street Music,Cuba (Alternate),Concept,Cuban music mixes African and Spanish traditions.,Key talking points,Percussion instruments create lively rhythms;Street celebrations include dancing and singing;Cuban music influenced many other styles,Questions / engagement,What instruments make the strongest rhythm?;Why might people gather outside to hear music?;Fun fact: Maracas are one of the most recognizable Cuban instruments
Fiestas! Latin America Tour K-2,ARTIST,Fiestas3-12_RafaelMendez,Puerto Rico – Bomba & Plena,Puerto Rico,Concept,"Puerto Rican music blends rhythm, dance, and storytelling.",Key talking points,Bomba music uses drums and dance;Plena songs often tell stories about events;Music helps communities celebrate culture,Questions / engagement,How can music tell a story?;What songs do people sing together where you live?;Fun fact: In bomba performances dancers lead while drummers follow
